sequence_id,length,reps,objective,shots,noise_backend,logical_qubits,hamiltonian_terms,qubo_density,circuit_depth,transpiled_depth,one_qubit_gates,two_qubit_gates,multi_qubit_gates,swap_gates,optimizer_iterations,circuit_evaluations,best_qubo_energy,found_ground_state,base_pair_f1,energy_gap,runtime_seconds
syn_30_002,30,1,expectation,256,none,13,92,1.0,78,78,117,156,0,0,200,34,-0.7000000000000002,False,0.8,2.799999952316284,0.25764170894399285
syn_30_002,30,1,expectation,1024,none,13,92,1.0,78,78,117,156,0,0,200,28,-0.7000000000000002,False,0.8,2.799999952316284,0.3694323329254985
syn_30_002,30,1,expectation,4096,none,13,92,1.0,78,78,117,156,0,0,200,29,-3.499999999999999,True,1.0,0.0,0.9273003749549389
syn_30_002,30,2,expectation,256,none,13,92,1.0,149,149,221,312,0,0,200,37,-0.7000000000000002,False,0.8,2.799999952316284,0.4048268753103912
syn_30_002,30,2,expectation,1024,none,13,92,1.0,149,149,221,312,0,0,200,38,2.9000000000000004,False,0.0,7.3999998569488525,0.608173708897084
syn_30_002,30,2,expectation,4096,none,13,92,1.0,149,149,221,312,0,0,200,36,-3.499999999999999,True,1.0,0.0,1.2156535419635475
syn_30_002,30,3,expectation,256,none,13,92,1.0,220,220,325,468,0,0,200,50,3.8,False,0.0,7.3999998569488525,0.677643375005573
syn_30_002,30,3,expectation,1024,none,13,92,1.0,220,220,325,468,0,0,200,52,-0.7000000000000002,False,0.8,2.799999952316284,0.9898128751665354
syn_30_002,30,3,expectation,4096,none,13,92,1.0,220,220,325,468,0,0,200,50,-3.499999999999999,True,1.0,0.0,1.709999166894704
syn_30_002,30,3,cvar,256,none,13,92,1.0,220,220,325,468,0,0,200,48,-2.899999999999999,False,0.8,0.5999999046325684,0.6676553329452872
syn_30_002,30,1,expectation,256,fake_hanoi,13,92,1.0,78,225,195,363,0,0,200,29,11.4,False,0.8,2.799999952316284,114.8462815838866
